iter	Passed	Remaining
547	28204	23263
548	28248	23205
549	28289	23145
550	28336	23091
551	28379	23032
552	28439	22988
553	28479	22927
554	28526	22872
555	28576	22820
556	28624	22765
557	28662	22704
558	28703	22644
559	28745	22585
560	28788	22527
561	28832	22470
562	28877	22414
563	28932	22366
564	28975	22308
565	29017	22250
566	29060	22192
567	29100	22132
568	29144	22076
569	29183	22015
570	29225	21957
571	29272	21903
572	29315	21845
573	29359	21789
574	29399	21729
575	29453	21680
576	29499	21626
577	29541	21568
578	29592	21517
579	29637	21461
580	29682	21406
581	29727	21350
582	29778	21299
583	29821	21242
584	29867	21187
585	29908	21130
586	29954	21075
587	30000	21020
588	30051	20970
589	30090	20910
590	30134	20854
591	30190	20806
592	30236	20752
593	30282	20698
594	30324	20640
595	30370	20586
596	30417	20532
597	30464	20479
598	30509	20424
599	30554	20369
600	30600	20315
601	30642	20258
602	30687	20203
603	30733	20149
604	30774	20092
605	30819	20037
606	30866	19984
607	30910	19929
608	30955	19874
609	30997	19817
610	31040	19762
611	31083	19706
612	31126	19650
613	31166	19593
614	31204	19534
615	31256	19484
616	31303	19431
617	31349	19377
618	31396	19324
619	31441	19270
620	31483	19214
621	31528	19160
622	31596	19119
623	31666	19081
624	31737	19042
625	31803	19000
626	31880	18965
627	31955	18929
628	32028	18891
629	32093	18848
630	32160	18807
631	32231	18767
632	32327	18743
633	32384	18695
634	32434	18643
635	32497	18599
636	32568	18559
637	32616	18506
638	32664	18453
639	32714	18401
640	32756	18345
641	32802	18291
642	32848	18237
643	32893	18183
644	32940	18129
645	32984	18074
646	33034	18023
647	33089	17974
648	33132	17919
649	33171	17861
650	33223	17810
651	33266	17755
652	33315	17703
653	33360	17649
654	33412	17598
655	33462	17547
656	33511	17495
657	33560	17443
658	33607	17390
659	33657	17338
660	33707	17287
661	33755	17234
662	33804	17182
663	33854	17131
664	33905	17079
665	33950	17026
666	34002	16975
667	34049	16922
668	34101	16872
669	34149	16819
670	34201	16769
671	34250	16717
672	34299	16665
673	34346	16612
674	34399	16562
675	34449	16511
676	34499	16460
677	34551	16409
678	34592	16353
679	34638	16300
680	34680	16245
681	34725	16191
682	34770	16138
683	34816	16084
684	34860	16030
685	34906	15977
686	34956	15926
687	35002	15873
688	35048	15820
689	35094	15767
690	35148	15717
691	35201	15667
692	35252	15617
693	35304	15566
694	35352	15514
695	35406	15464
696	35457	15414
697	35505	15362
698	35556	15311
699	35604	15259
700	35651	15206
701	35701	15155
702	35752	15104
703	35802	15053
704	35851	15001
705	35915	14956
706	35967	14905
707	36012	14852
708	36061	14800
709	36115	14751
710	36167	14701
711	36216	14649
712	36266	14598
713	36319	14548
714	36372	14498
715	36423	14447
716	36472	14395
717	36522	14344
718	36570	14292
719	36624	14242
720	36672	14190
721	36713	14136
722	36769	14087
723	36810	14032
724	36862	13982
725	36927	13936
726	36994	13892
727	37044	13840
728	37091	13788
729	37134	13734
730	37176	13680
731	37218	13626
732	37261	13572
733	37302	13518
734	37348	13465
735	37389	13411
736	37434	13358
737	37476	13304
738	37523	13252
739	37568	13199
740	37618	13148
741	37660	13094
742	37714	13045
743	37760	12992
744	37806	12940
745	37852	12887
746	37896	12835
747	37942	12782
748	37984	12729
749	38028	12676
750	38074	12623
751	38122	12572
752	38166	12519
753	38212	12467
754	38257	12414
755	38304	12362
756	38350	12310
757	38395	12258
758	38443	12206
759	38490	12155
760	38537	12103
761	38582	12050
762	38627	11998
763	38672	11946
764	38717	11893
765	38761	11841
766	38805	11788
767	38843	11734
768	38888	11681
769	38933	11629
770	38978	11577
771	39023	11525
772	39067	11472
773	39122	11423
774	39169	11371
775	39214	11319
776	39263	11268
777	39309	11216
778	39352	11164
779	39398	11112
780	39445	11060
781	39485	11007
782	39531	10955
783	39575	10903
784	39622	10851
785	39667	10800
786	39713	10748
787	39759	10696
788	39805	10645
789	39852	10593
790	39899	10542
791	39948	10491
792	39993	10439
793	40044	10389
794	40085	10336
795	40130	10284
796	40177	10233
797	40224	10182
798	40273	10131
799	40320	10080
800	40363	10027
801	40409	9976
802	40456	9925
803	40500	9873
804	40541	9820
805	40586	9768
806	40633	9717
807	40678	9666
808	40722	9614
809	40768	9562
810	40822	9513
811	40865	9461
812	40913	9410
813	40958	9359
814	40999	9306
815	41044	9255
816	41091	9204
817	41135	9152
818	41180	9100
819	41224	9049
820	41273	8998
821	41314	8946
822	41359	8895
823	41402	8843
824	41450	8792
825	41498	8741
826	41542	8690
827	41587	8639
828	41636	8588
829	41686	8538
830	41732	8487
831	41778	8436
832	41834	8386
833	41882	8336
834	41930	8285
835	41978	8235
836	42025	8184
837	42070	8132
838	42113	8081
839	42153	8029
840	42198	7978
841	42248	7927
842	42295	7877
843	42343	7826
844	42390	7775
845	42433	7724
846	42485	7674
847	42538	7624
848	42590	7574
849	42634	7523
850	42675	7472
851	42717	7420
852	42759	7368
853	42808	7318
854	42858	7268
855	42907	7218
856	42960	7168
857	42998	7116
858	43041	7065
859	43090	7014
860	43133	6963
861	43177	6912
862	43216	6860
863	43259	6809
864	43305	6758
865	43348	6707
866	43396	6657
867	43442	6606
868	43490	6556
869	43532	6504
870	43583	6454
871	43630	6404
872	43669	6352
873	43717	6302
874	43760	6251
875	43808	6201
876	43854	6150
877	43904	6100
878	43950	6050
879	43996	5999
880	44040	5948
881	44085	5898
882	44139	5848
883	44184	5798
884	44229	5747
885	44278	5697
886	44323	5646
887	44371	5596
888	44412	5545
889	44460	5495
890	44509	5445
891	44551	5394
892	44594	5343
893	44637	5292
894	44680	5241
895	44726	5191
896	44771	5140
897	44816	5090
898	44864	5040
899	44907	4989
900	44961	4940
901	45002	4889
902	45042	4838
903	45087	4788
904	45129	4737
905	45173	4686
906	45217	4636
907	45263	4586
908	45305	4535
909	45348	4484
910	45391	4434
911	45440	4384
912	45482	4334
913	45524	4283
914	45571	4233
915	45618	4183
916	45664	4133
917	45710	4083
918	45754	4032
919	45801	3982
920	45845	3932
921	45895	3882
922	45961	3834
923	46005	3783
924	46049	3733
925	46096	3683
926	46154	3634
927	46199	3584
928	46248	3534
929	46293	3484
930	46354	3435
931	46401	3385
932	46449	3335
933	46491	3285
934	46535	3235
935	46575	3184
936	46627	3135
937	46669	3084
938	46711	3034
939	46752	2984
940	46797	2934
941	46844	2884
942	46887	2834
943	46928	2783
944	46970	2733
945	47015	2683
946	47062	2633
947	47103	2583
948	47144	2533
949	47185	2483
950	47227	2433
951	47270	2383
952	47315	2333
953	47361	2283
954	47405	2233
955	47462	2184
956	47510	2134
957	47555	2084
958	47598	2034
959	47640	1985
960	47684	1935
961	47728	1885
962	47778	1835
963	47825	1786
964	47871	1736
965	47918	1686
966	47960	1636
967	48003	1586
968	48050	1537
969	48094	1487
970	48141	1437
971	48183	1388
972	48226	1338
973	48274	1288
974	48320	1238
975	48366	1189
976	48412	1139
977	48462	1090
978	48508	1040
979	48554	990
980	48597	941
981	48639	891
982	48683	841
983	48721	792
984	48759	742
985	48803	692
986	48851	643
987	48893	593
988	48935	544
989	48987	494
990	49034	445
991	49076	395
992	49118	346
993	49161	296
994	49207	247
995	49246	197
996	49288	148
997	49330	98
998	49388	49
999	49429	0
